[2024-12-04 17:36:07] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:32] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:33] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:34] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:35] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:36] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:37] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:38] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:39] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:40] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:41] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:42] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:43] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:44] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:44] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:44] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:44] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:44] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:44] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:45] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:45] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
